id,area,type,rwdirusa,rwdiril,rwdirlocal,qlife,pres12_oba_rom,pres12_oba_rom_comment,impress_oba,impress_rom,app_gov_quin,app_pres_oba,el_honest_us,el_honest_il,leg_per_prof,leg_pubemp,leg_st_biz,term_lim,term_leader,cf_lim_leader,prim_nodeclr,redist_hat,redist_neutral,redist_commis,off_otherjob,off_taxrec,off_govprof,off_loans,off_lobby,off_reltax,off_privbiz,off_ethics,off_giftlim,off_giftlim2hi,inf_proc,inf_lgrts,inf_prol,inf_biz,inf_evch,inf_priunion,inf_occupy,inf_teapar,inf_ilcoc,inf_nra,inf_cathch,inf_pubunion,crpt_biz,crpt_ilsprd,crpt_ilothst,crpt_locil,app_citun,cf_limneed,off_2blobby,wealth_reason,wealth_distfair,wealth_fedpolicy,leg_hypoth,abort_leg,lg_rights,id_il,education,ideology,party_aff_og,employ_time,employ_type,retired_type,relig_att_often,relig_type,religion,relig_denom,relig_what,born_again,zip,birth_yr,rac_eth1,hhinc1,education_redo,ideology_redo,party_aff_redo,employ_time_redo,gender,language,areacode,party_aff1,Generation,hhinc,party_aff,rac_eth
001987,1,1,2,2,1,3,5, ,4,4,2,1,9,2,4,4,4,1,4,4,4,9,4,1,1,1,3,4,3,1,1,4,1000, ,1,1,1,1,2,1,1,1,9,1,1,1,1,1,1,9,1,1,2,4,1,2,2,2,1,1,5,1,4,3, ,2,4, ,1,5, , ,60616,1942,1,2, , ,4, ,2,1,312,2,1,1,2,1
002339,2,1,3,1,1,1,1, ,4,1,4,5,1,1,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4,4,4,4,100, ,9,3,9,1,9,3,3,1,9,9,9,3,9,9,1,9,1,1,1,2,2,1,2,1,1,1,5,1,1,4, , ,5, ,3, , , ,60089,1989,1,5, , , ,4,1,1,847,1,4,2,1,1
010515,3,2,2,2,2,5,3, ,1,4,1,4,1,2,2,2,2,2,1,2,1,2,2,2,2,2,3,4,4,1,2,2, ,999999,2,2,9,2,9,2,1,3,2,2,9,2,2,2,1,2,9,1,1,2,1,1,1,2,3,1,2,1,2,3, ,1,5, ,1,3, ,2,62874,1949,1,1,2, , , ,1,1,618,1,2,1,1,1
012315,2,2,1,1,3,3,1, ,5,1,4,5,2,1,1,1,1,2,2,1,1,1,1,1,4,4,4,4,4,4,4,4,5000, ,2,2,1,2,2,1,1,1,1,1,1,2,1,1,3,3,4,1,2,2,2,2,2,2,3,1,3,2,1,1,1, ,3,2, , ,5, ,60620,1956,2,5,3, , , ,2,1,773,1,2,2,1,2
011107,2,1,3,1,1,5,1, ,5,2,5,5,2,1,4,3,3,3,2,4,3,3,3,1,4,4,4,4,4,4,4,4,0, ,2,2,2,2,2,2,2,2,2,2,2,2,9,9,3,2,9,9,2,4,2,1,9,1,1,1,6,2,5,1,1, ,3,1, ,88, ,2,60077,1961,7,9, ,3, , ,1,1,847,3,2,9,3,7
010730,3,1,1,2,1,1,1, ,4,4,4,4,1,1,4,3,4,1,4,3,3,2,4,1,9,3,4,4,4,3,9,4,100, ,2,2,2,1,2,1,2,2,1,1,2,2,2,1,3,2,1,2,1,1,2,1,2,2,2,1,6,1,3,3, ,3,1,1, ,14, ,2,61920,1946,1,4, ,2, , ,1,1,217,1,1,2,1,1
011454,2,1,2,2,3,3,9, ,2,3,3,1,2,2,3,3,3,1,3,3,3,2,3,3,3,4,3,4,9,4,9,4, ,100,2,9,3,3,9,3,2,3,9,3,1,2,1,1,1,2,9,2,2,4,2,1,2,2,2,1,4,1,6,4, , ,4, ,1,18, ,2,60185,1983,5,1, , , ,4,2,1,630,3,3,1,3,3
013434,1,1,2,2,2,4,5, ,1,2,4,1,2,2,4,1,4,1,4,1,4,1,1,2,3,4,4,4,4,4,4,4,0, ,1,1,3,1,2,3,3,2,2,3,2,3,1,1,9,1,1,1,1,9,2,1,2,3,3,1,5,9,5,1,2, ,1,1, ,88, ,2,60610,1976,1,1, ,9, , ,1,1,312,3,3,1,3,1
014576,3,1,2,2,1,3,1, ,4,1,1,5,2,2,4,4,4,1,4,4,4,1,3,1,2,4,4,4,4,4,4,4,0, ,3,3,1,1,9,3,3,9,9,3,1,9,1,1,3,3,3,2,1,4,2,1,1,3,1,1,4,1,2,1,4, ,5, ,1,98, ,2,62012,1969,1,9, , ,2, ,2,1,618,1,3,9,1,1
010818,3,1,2,2,1,2,4, ,1,4,1,1,1,2,4,1,4,1,4,4,4,3,3,1,1,3,4,4,4,1,3,4,0, ,1,2,2,2,2,1,2,2,2,2,2,1,1,1,3,3,1,2,1,1,1,2,1,2,2,1,5,3,4,1,4, ,2,1, ,5, , ,62002,1946,1,9, ,4, , ,1,1,618,2,1,9,2,1
011535,3,1,1,1,1,5,5, ,2,4,4,4,1,1,1,1,1,2,1,1,9,3,1,2,4,4,4,4,1,4,4,4, ,999999,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,1,2,1,2,2,2,1,3,3,2,1,3,4,1,2, ,1,1, ,88, ,2,61920,1961,1,9, ,5, , ,2,1,217,2,2,9,2,1
012054,2,1,2,2,2,3,5, ,1,4,1,1,2,2,1,2,1,1,3,3,9,1,3,2,3,3,4,4,3,2,3,3,0, ,1,1,3,2,3,1,1,3,1,2,3,1,1,1,1,3,2,1,1,4,1,2,2,2,2,2,2,3,7,3, ,1,4, ,1,5, , ,60506,1941,4,4,3, , , ,2,1,630,3,1,2,3,3
012449,2,1,2,2,2,2,5, ,1,4,1,1,2,2,4,4,4,1,4,4,4,3,3,1,4,3,4,4,4,4,4,4,1000, ,9,1,9,1,9,1,1,3,9,9,9,1,1,1,1,3,1,1,1,4,1,2,2,4,2,1,3,3,5,2,1, ,4, ,1,5, , ,60517,1942,1,4,3, , , ,1,1,630,3,1,2,3,1
013166,3,1,2,2,1,3,9, ,9,9,2,9,2,2,1,2,4,1,4,1,9,1,4,1,4,4,4,4,3,3,3,4,25000, ,9,9,2,9,9,3,9,9,3,2,9,9,9,1,1,2,2,1,1,2,1,2,2,1,2,1,4,2,4,1,1, ,4, ,3, , , ,61821,1962,1,9, ,3, , ,1,1,217,2,2,9,2,1
013795,3,1,3,2,1,4,1, ,4,4,2,2,2,2,3,4,4,1,4,4,4,1,3,1,3,4,4,3,4,4,3,4, ,10000,2,1,1,3,2,2,1,2,3,3,2,2,1,1,1,2,9,1,1,2,1,1,2,3,3,1,3,3,2,3, ,2,1,1, ,16, ,1,62565,1945,1,2, ,4, , ,2,1,217,1,1,1,1,1
010054,1,1,2,2,2,4,4, ,1,5,1,1,2,2,4,1,4,2,9,9,3,1,4,1,4,4,4,4,4,3,4,4,1000, ,2,2,2,3,2,1,2,2,3,3,2,1,1,1,1,1,4,2,2,1,1,2,1,4,1,1,6,3,7,1,4, ,3,1, ,5, , ,60515,1965,1,7,6, , , ,1,1,312,3,3,4,3,1
011450,3,1,2,2,1,3,5, ,1,4,4,1,1,1,2,1,2,2,3,3,4,1,1,1,3,1,1,1,1,3,4,4,0, ,1,1,3,2,3,3,2,9,3,2,1,3,1,1,3,2,3,1,2,1,1,2,1,3,3,2,2,9,6,3, ,2,1,1, ,16, ,1,61071,1944,1,5, ,3, , ,2,1,815,3,1,2,3,1
011761,2,1,2,2,2,2,4, ,4,4,4,4,2,1,4,2,3,1,3,2,3,3,3,1,2,4,3,4,3,3,4,4,99, ,3,1,2,2,9,1,9,2,2,1,3,3,1,1,3,3,3,2,2,2,2,1,2,3,2,1,2,3,5,3, ,1,4, ,1,5, , ,60706,1948,4,3, , , ,3,2,1,708,3,2,1,3,3
012251,2,1,2,2,2,3,9, ,9,9,2,4,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,1,4,4,4,4,50, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,1,2,1,2,1,2,2,2,1,6,1,4,4, , ,5, ,1,5, , ,60077,1982,1,1, , , ,4,2,1,847,2,3,1,2,1
012646,2,1,2,2,1,1,5, ,1,5,1,1,2,1,3,3,3,1,2,3,2,2,3,2,1,1,3,2,2,2,2,4,500, ,1,1,3,3,2,2,1,3,2,3,3,2,1,1,1,2,3,2,1,1,1,2,2,2,3,1,6,3,7,4, , ,1,1, ,15, , ,60031,0,1,4, , , ,4,1,1,847,3,0,2,3,1
010586,3,1,3,3,1,2,1, ,4,9,4,4,1,1,4,1,4,1,4,4,4,1,4,1,3,1,4,4,4,3,3,4,25, ,1,2,1,2,1,2,1,1,2,1,2,2,1,1,3,3,1,1,1,1,2,9,1,1,1,1,2,2,3,3, ,1,5, ,1,99, ,2,61853,1947,1,3, , , ,3,1,1,217,1,2,1,1,1
011721,2,1,1,3,1,3,1, ,5,1,4,4,2,2,2,2,2,2,2,3,2,1,1,2,4,4,4,4,4,4,4,4,50, ,3,3,3,3,3,3,1,1,1,3,3,3,1,2,2,2,3,2,1,2,1,1,2,1,1,1,2,3,1,3, ,1,1,1, ,3, ,1,60621,1953,2,3,2, , , ,2,1,773,1,2,1,1,2
010739,2,2,2,2,1,1,6,RON PAUL,2,1,4,2,9,9,2,2,2,1,4,2,4,1,3,1,2,3,3,3,1,1,2,4,0, ,3,3,2,1,1,2,2,2,3,2,1,2,2,1,1,3,1,2,2,1,2,1,2,1,1,1,3,1,8,2,1, ,5, ,3, , , ,60504,1992,1,7, ,2, , ,1,1,630,9,4,4,9,1
012020,2,2,2,2,2,3,1, ,4,1,3,4,1,1,1,3,4,1,4,4,3,1,2,3,4,4,4,3,4,3,4,4, ,999999,3,2,1,1,2,1,2,1,3,1,1,1,1,1,1,3,1,2,2,4,2,1,1,1,1,1,5,2,3,1,1, ,5, ,3, , , ,60073,1977,1,6,5, , , ,2,1,847,1,3,3,1,1
013648,2,2,1,1,1,2,1, ,5,1,4,5,1,1,4,4,4,1,4,4,2,1,3,1,2,4,4,4,4,4,4,4,150, ,2,2,2,2,2,2,3,2,1,1,1,2,2,1,3,3,1,1,1,1,2,1,2,1,1,1,6,2,3,1,1, ,1,1, ,18, ,1,60605,1968,3,7,6, , , ,1,1,708,1,3,4,1,3
012740,3,1,3,2,1,2,3, ,9,9,1,3,1,2,4,4,4,1,4,4,4,1,1,1,2,3,3,4,4,4,4,4, ,1000,2,1,2,3,9,2,1,2,3,3,2,2,2,1,1,2,9,1,1,1,1,2,9,2,4,1,6,2,4,1,1, ,1,1, ,99, ,2,61528,1951,1,5,6, , , ,1,1,309,2,2,2,2,1
013951,3,1,2,2,1,3,2, ,4,9,4,4,1,1,4,4,4,1,3,4,3,3,2,3,3,3,4,4,4,3,3,4, ,100,9,1,9,1,3,2,9,2,9,3,9,3,1,1,9,2,1,2,2,1,2,1,2,2,3,1,2,3,2,3, ,3,1,1, ,14, ,1,61554,1946,1,9, ,4, , ,2,1,309,1,1,9,1,1
010427,2,1,1,2,1,1,3, ,4,2,4,4,2,2,1,2,4,1,4,4,4,1,4,1,4,4,4,4,4,4,4,4,100, ,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,2,2,2,1,6,1,9,4, , ,1,1, ,5, , ,60510,1968,1,6, ,2, , ,2,1,630,9,3,3,9,1
012214,2,1,2,2,1,3,5, ,2,4,4,2,2,2,2,2,2,2,2,3,4,1,3,3,2,3,3,4,3,3,3,4, ,999999,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,2,1,2,9,9,1,1,1,2,5,1,8,1,1, ,4, ,1,5, , ,37918,1989,1,1, , ,6, ,2,1,630,9,4,1,9,1
